Project,Commit_Removal,File_Path,SATD_Comment,API_Added,API_Deleted,ISMethodChangedBasedOnAPI,Category
Camel,073a062146e15a3c21c66e3886ea28d10dc49be4,components/camel-spring-integration/src/main/java/org/apache/camel/component/spring/integration/SpringIntegrationConsumer.java,//TODO We need to clean the channel when shutdown the endpoint,org.springframework.integration.channel.BeanFactoryChannelResolver; org.springframework.integration.channel.ChannelResolver; org.springframework.integration.channel.DirectChannel;  org.springframework.integration.core.Message;  org.springframework.integration.core.MessageChannel;  org.springframework.integration.core.MessageHandler,org.springframework.integration.channel.ChannelRegistry; org.springframework.integration.channel.MessageChannel; org.springframework.integration.config.MessageBusParser,NO,
Camel,10632b64bd6364652867951f9389867c43a613bd,components/camel-http/src/main/java/org/apache/camel/component/http/HttpProducer.java,// TODO we might be PUT? - have some better way to explicitly choose method,java.io.BufferedInputStream; java.io.ByteArrayInputStream; java.io.UnsupportedEncodingException; java.util.Arrays; java.util.HashSet; java.util.Set; org.apache.commons.httpclient.methods.EntityEnclosingMethod; org.apache.commons.httpclient.methods.StringRequestEntity; org.apache.commons.io.IOUtils,org.apache.commons.httpclient.methods.ByteArrayRequestEntity; org.apache.commons.httpclient.methods.GetMethod; org.apache.commons.httpclient.methods.PostMethod ,NO,
Camel,108cb196c25758d2e387f748df1cfd63ec416ca7,components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfSoapConsumer.java,// TODO: chain.onMessage();,java.io.InputStream; java.io.OutputStream; javax.xml.namespace.QName; javax.xml.transform.Source; org.apache.cxf.frontend.ServerFactoryBean; org.apache.cxf.transport.Conduit; org.apache.cxf.interceptor.InterceptorChain; org.apache.cxf.interceptor.OutgoingChainInterceptor; org.apache.cxf.io.CachedOutputStream; org.apache.cxf.message.ExchangeImpl; org.apache.cxf.message.MessageImpl,,NO,
Camel,11594acbcb63921e00208b3f453723d98e246693,camel-spring/src/main/java/org/apache/camel/spring/SpringInjector.java,// TODO now lets inject spring...,org.springframework.context.support.AbstractRefreshableApplicationContext; org.springframework.beans.factory.wiring.BeanConfigurerSupport; org.springframework.beans.factory.config.AutowireCapableBeanFactory,,YES,FEATURE CHANGE
Camel,165e284cd92d8dd146ac2d0a18b0c72dd112d18b,camel-core/src/main/java/org/apache/camel/processor/MulticastProcessor.java,//TODO: make a dynamic countdown latch to avoid having to convert back to list,java.util.LinkedList,java.util.concurrent.CountDownLatch,YES,FEATURE CHANGE
Camel,1817a41ea9165453bd8904498a4ed5c2a20e81a0,components/camel-swagger-java/src/main/java/org/apache/camel/swagger/RestSwaggerReader.java,// TODO: like response object with type refer to model,io.swagger.models.RefModel; io.swagger.models.properties.Property,,YES,FEATURE CHANGE
Camel,1acfe6e75143fa66320db1fd2159f7a4fd008b94,components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveChangesIntegrationTest.java,// TODO provide parameter values for get,java.util.List,java.util.HashMap; java.util.Map; org.junit.Ignore,YES,TEST
Camel,1e4008fe1ae98f1feff6b027135c662a8908935f,components/camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfProducer.java,// TODO: this method should probably be more strict and validate (CAMEL-2195),javax.xml.ws.Holder; org.apache.cxf.binding.soap.model.SoapHeaderInfo; org.apache.cxf.service.model.BindingMessageInfo,,YES,FEATURE CHANGE
Camel,20845dffc73e0d0b1cba1e3d8221ebb7b72f8a2b,examples/camel-example-cxf-async/src/main/java/org/apache/camel/example/client/CamelClient.java,// must add to a list otherwise CXF cannot send data // TODO: camel-cxf should be able to do this itself without me having to create a List object,,java.util.ArrayList; java.util.List,YES,MAINTAINABILITY
Camel,226c94fba0b3a4eca7917f4f09b33e39ebfe84b1,tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/ftp/FtpTest.java,// TODO: our app need to import the FTP server stuff,,org.apache.karaf.testing.Helper; org.ops4j.pax.exam.container.def.PaxRunnerOptions.workingDirectory ,NO,
Camel,27102fc06acfdacef219c79f7b9dd89fe29a08bb,camel-spring/src/main/java/org/apache/camel/spring/CamelBeanDefinitionParser.java,// TODO: we could support arrays one day soon.,java.lang.reflect.Array; org.springframework.beans.SimpleTypeConverter;,,YES,MAINTAINABILITY
Camel,2769e1506a56af6944ab1bb0c2a3118b815a0c09,,// TODO: Use a buffer to write faster instead of looping one char at a time,java.util.zip.GZIPOutputStream,,NO,
Camel,34230db8d5a4518eff8eeaf575333f6696339e74,tooling/apt/src/main/java/org/apache/camel/tools/apt/EndpointAnnotationProcessor.java,// TODO would be nice here to create a default endpoint/consumer object // and return the default value of the field so we can put it into the docs,java.util.LinkedHashSet,java.util.ArrayList; java.util.Map;java.util.SortedMap; java.util.TreeMap,YES,FEATURE CHANGE
Camel,36f97b8fc034ccdde887c9155b7b3be2d9d8cb98,camel-core/src/main/java/org/apache/camel/processor/aggregate/AggregateProcessor.java,// TODO: if we are completed from batch consumer then they should all complete (trigger that like timeout map),java.util.LinkedHashSet,,YES,FEATURE CHANGE
Camel,3aa4782d3e6ffcc0dfdcdfe7c833ad309ac18c52,components/camel-blueprint/src/main/java/org/apache/camel/blueprint/handler/CamelNamespaceHandler.java,// // gnodet: the initialization of the CamelContextFactoryBean is now done at the end of the blueprint //    container creation through the use of a ComponentDefinitionRegistryProcessor (those are called //    after all the beans have been initialized.  That's why the calls to #afterPropertiesSet and //    #init are commented. //       This mechanism is now required because the #afterPropertiesSet method on the CamelContext //    will search through the blueprint beans for beans implementing known interfaces such as //    LifeCycle strategies; etc... so that they are automatically wired to the CamelContext. //    However; Blueprint does not support real factories; so in order to do so; we need to actually //    access the beans which lead to a circular exception while looking for the CamelContext itself. //,org.apache.aries.blueprint.BeanProcessor;  org.apache.aries.blueprint.mutable.MutableRefMetadata; org.apache.aries.blueprint.mutable.MutableValueMetadata; org.osgi.service.blueprint.reflect.BeanMetadata; org.osgi.service.blueprint.reflect.RefMetadata; org.osgi.service.blueprint.reflect.ValueMetadata,,NO,
Camel,3b6fdf1f67f949b7636b30ba6f5a0ea522f3e293,camel-core/src/main/java/org/apache/camel/impl/RouteService.java,// TODO: We should also consider processors which are not services then we can manage all processors as well // otherwise its only the processors which is a Service,java.util.LinkedHashSet; java.util.Set,,YES,MAINTAINABILITY
Camel,3f905d405d32e46a4d8922ce30871d860314084c,components/camel-jetty/src/test/java/org/apache/camel/component/jetty/jettyproducer/HttpJettyProducerTwoParametersWithSameKeyTest.java,// TODO: Http/Jetty should support headers with multiple values,java.util.ArrayList; java.util.List,javax.servlet.http.HttpServletRequest,YES,FEATURE CHANGE
Camel,4fa04b3466706e2007b8c14cc97f7104a48d505b,camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfComponent.java,// TODO this is a hack!!!,,java.net.URI; org.apache.cfx.Bus; org.apache.cxf.BusException; org.apache.cxf.bus.CXFBusFactory; org.apache.cxf.service.model.EndpointInfo; org.apache.cxf.transport.DestinationFactoryManager; org.apache.cxf.transport.local.LocalTransportFactory; org.xmlsoap.schemas.wsdl.http.AddressType,YES,MAINTAINABILITY
Camel,4fa04b3466706e2007b8c14cc97f7104a48d505b,camel-cxf/src/main/java/org/apache/camel/component/cxf/CxfProducer.java,// TODO - why do we need to ignore the returned message and get the out message from the exchange!,com.ibm.wsdl.extensions.soap.SOAPBindingImpl;java.io.InputStream;java.util.List;org.apache.camel.util.ObjectHelper;org.apache.cxf.Bus;org.apache.cxf.BusFactory;org.apache.cxf.endpoint.Client;org.apache.cxf.endpoint.ClientImpl;org.apache.cxf.frontend.ClientFactoryBean;org.apache.cxf.frontend.ClientProxyFactoryBean;org.apache.cxf.service.Service;org.apache.cxf.service.model.BindingInfo;org.apache.cxf.service.model.ServiceInfo;org.apache.cxf.wsdl11.WSDLServiceFactory;java.io.IOException;java.net.MalformedURLException;java.net.URL;java.util.concurrent.CountDownLatch;javax.xml.namespace.QName,org.apache.cxf.transport.local.LocalConduit; org.apache.cxf.transport.local.LocalTransportFactory,NO,
Camel,616439cb92f27f35417c699ef017ecfb73ba3816,components/camel-irc/src/main/java/org/apache/camel/component/irc/IrcComponent.java,// TODO this is probably bad in the for each,org.apache.commons.logging.Log; org.apache.commons.logging.LogFactory,java.io.IOException,NO,
Camel,9b08833283c3c8a971cbc9824d87614cd80df6c4,camel-core/src/main/java/org/apache/camel/management/DefaultManagementMBeanAssembler.java,// TODO: Introduce Camel JMX annotations and implement logic to assemble from those JMX annotations // TODO: Remove spring logic when no longer needed,,org.springframework.jmx.export.annotation.AnnotationJmxAttributeSource; org.springframework.jmx.export.annotation.ManagedResource; org.springframework.jmx.export.assembler.MetadataMBeanInfoAssembler,YES,COMPATIBILITY
Camel,a102bec6a05674027a0ddc32c26b8ac47713dbcb,components/camel-spring-integration/src/main/java/org/apache/camel/component/spring/integration/adapter/CamelTargetAdapter.java,// TODO need to check the message header,org.springframework.integration.bus.MessageBus; org.springframework.integration.bus.MessageBusAware; org.springframework.integration.message.MessageHeaders,,YES,MAINTAINABILITY
Camel,aff598798e6830c442cfd260e984c766eebfc7cc,camel-core/src/main/java/org/apache/camel/component/restbinding/RestBindingEndpoint.java,// create the consumer directly from the component that supports rest binding // TODO: should we have a RestBindingConsumer class that delegates to the actual consumer? // TODO: what if there is 2+ RestBindingCapable components in the registry?,java.util.Set,,YES,FEATURE CHANGE
Camel,b5507ced4ab784b658e4dc8c82346e6925fe7f0c,components/camel-rx/src/main/java/org/apache/camel/rx/support/EndpointSubscription.java,// TODO should this fire the observer.onComplete()?,org.slf4j.Logger; org.slf4j.LoggerFactory,,NO,
Camel,b67f5f903275776f619d536c172682965e14dcd3,components/camel-netty-http/src/main/java/org/apache/camel/component/netty/http/DefaultNettyHttpBinding.java,// TODO: keep alive should be something we can control,java.io.ByteArrayOutputStream; java.io.ObjectOutputStream; java.io.PrintWriter; java.io.StringWriter; java.net.URLDecoder; java.nio.charset.Charset ,,NO,
Camel,bbf92a4425a790dcf44b992a8499cb03e4640ff1,camel-jpa/src/main/java/org/apache/camel/component/jpa/JpaProducer.java,// TODO remove explicit transaction handling?,org.springframework.orm.jpa.JpaTemplate; org.springframework.orm.jpa.JpaCallback; javax.persistence.PersistenceException,javax.persistence.EntityTransaction,YES,MAINTAINABILITY
Camel,bf36f6149d3280e160cee8be12fd03ada3e81d35,components/camel-swagger-java/src/main/java/org/apache/camel/swagger/RestSwaggerReader.java,// TODO: add the type / outType stuff with array and model detection,java.util.LinkedHashSet; java.util.Map; java.util.Set; io.swagger.models.Model; io.swagger.models.ModelImpl; io.swagger.models.properties.ArrayProperty; io.swagger.models.properties.RefProperty; io.swagger.models.properties.StringProperty,,NO,
Camel,bf36f6149d3280e160cee8be12fd03ada3e81d35,components/camel-swagger-java/src/main/java/org/apache/camel/swagger/RestSwaggerReader.java,// TODO: add model parser for swagger annotations in the model/schema,java.util.LinkedHashSet; java.util.Map; java.util.Set; io.swagger.models.Model; io.swagger.models.ModelImpl; io.swagger.models.properties.ArrayProperty; io.swagger.models.properties.RefProperty; io.swagger.models.properties.StringProperty,,NO,
Camel,c0d78f2fb101778f452b9f6598570f0b8c1bbe57,camel-core/src/main/java/org/apache/camel/component/file/GenericFileProducer.java,// TODO windows or unix slashes. Maybe we should replace all \ to /,java.io.File,,YES,COMPATIBILITY
Camel,c703efafe599a8d003d38cf7efec4d97879b30e3,camel-core/src/main/java/org/apache/camel/component/file/FileConsumer.java,// the trick is to try to rename the file; if we can rename then we have exclusive read // NOTE: using java.nio (channel lokc) doesn't help us as we can have write access but the // file is still in progress of being written (slow writer) // TODO: Seems to not work on Unix boxes (see the unit test FileExclusiveReadTest),java.io.RandomAccessFile; java.nio.channels.FileChannel; java.nio.channels.FileLock,,YES,FEATURE CHANGE
Camel,ca3ae74f7d44ce36b6f8872d90b41ae57d38bc52,camel-core/src/test/java/org/apache/camel/management/ManagedUnregisterProducerTest.java,// TODO: producers are not managed due they can lead to memory leak CAMEL-2484,java.util.Set; javax.management.MBeanServer; javax.management.ObjectName,,YES,FEATURE ADDITION
Camel,ca7fe37339d436e0c69630adffb298b747d3a5af,camel-core/src/main/java/org/apache/camel/impl/ActiveMQUuidGenerator.java,// TODO: replace the following line with IOHelper.close(ss) when Java 6 support is dropped,,java.io.IOException,YES,COMPATIBILITY
Camel,cdd0d5037015aaa26954628300a4d15f62143297,components/camel-velocity/src/main/java/org/apache/camel/component/velocity/VelocityEndpoint.java,// TODO we might wanna add some kinda resource caching of the template,org.apache.velocity.runtime.log.SimpleLog4JLogSystem; org.springframework.core.io.Resource,,YES,PERFORMANCE
Camel,cf1273af032e28b187a99a9f525fc1db7eff461c,components/camel-netty-http/src/main/java/org/apache/camel/component/netty/http/handlers/HttpServerMultiplexChannelHandler.java,// TODO: support matchOnUriPrefix,java.util.Map,org.jboss.netty.handler.codec.http.HttpHeaders.isKeepAlive,YES,FEATURE CHANGE
Camel,d1c23e5a91a8b892f822c09971a82f8e47c0bd99,components/camel-dozer/src/main/java/org/apache/camel/converter/dozer/DozerTypeConverterLoader.java,// TODO: This is a little wasteful as dozer has already parsed this // information; if does not expose it though so it must be done again. // Create a patch for Dozer to expose this.,java.net.URL; java.util.ArrayList; java.util.List; org.dozer.classmap.MappingFileData; org.dozer.loader.xml.MappingFileReader; org.dozer.loader.xml.XMLParserFactory,org.dozer.loader.CustomMappingsLoader; org.dozer.loader.LoadMappingsResult,YES,PERFORMANCE
Camel,d3a2c771d8d0ee8c4cf9ed9060c8479bf5ed8597,components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/FtpConsumer.java,// TODO do we need to adjust the TZ? can we?,java.util.List,java.io.ByteArray.OutputStream; java.io.IOException; ava.util.concurrent.ScheduledExecutorService,NO,
Camel,d3a2c771d8d0ee8c4cf9ed9060c8479bf5ed8597,components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/SFtpConsumer.java,// TODO do we need to adjust the TZ? can we?,java.util.List,java.io.ByteArrayOutputStream; java.io.IOException; java.util.Vector; java.util.concurrent.ScheduledExecutorService; com.jcraft.jsch.JSchException; com.jcraft.jsch.Session; com.jcraft.jsch.SftpException,NO,
Camel,d7873fc5cce2fabd028fc5157920f3d8944aa652,components/camel-ftp/src/main/java/org/apache/camel/component/file/remote/SftpConsumer.java,// TODO: This code could be neater,java.util.Vector,,YES,MAINTAINABILITY
